City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,laojunmiao,39.8333,97.7333,12.33,32,28,1.92,CN,1717279540
83,montepuez,-13.1256,38.9997,18.08,97,11,1.78,MZ,1717279540
84,puerto natales,-51.7236,-72.4875,1.25,100,0,2.06,CL,1717279540
85,bridgewater,44.3835,-64.5155,14.26,60,73,2.57,CA,1717279540
86,ust-nera,64.5667,143.2,9.89,37,28,0.54,RU,1717279540
87,newcastle,-32.9272,151.7765,12.1,92,100,6.69,AU,1717279266
88,kalaleh,37.3807,55.4916,25.2,65,75,2.06,IR,1717279540
89,dampit,-8.2116,112.7493,22.51,100,86,1.45,ID,1717279540
90,invercargill,-46.4,168.35,9.45,76,71,3.13,NZ,1717279541
91,nar'yan-mar,67.6713,53.087,-3.27,97,48,1.79,RU,1717279541
92,new norfolk,-42.7826,147.0587,7.18,95,2,0.98,AU,1717279541
93,saipan,15.1355,145.701,29.39,79,40,4.12,MP,1717279541
94,sisimiut,66.9395,-53.6735,-0.33,75,87,2.26,GL,1717279541
95,remire-montjoly,4.9167,-52.2667,27.02,94,75,2.06,GF,1717279541
96,paredon,16.0333,-93.8667,31.09,66,99,3.94,MX,1717279541
97,bethel,41.3712,-73.414,28.89,35,0,2.57,US,1717279541
98,iskateley,67.6803,53.1512,-3.32,97,53,1.79,RU,1717279541
99,punta arenas,-53.15,-70.9167,1.73,93,0,3.09,CL,1717279384
100,pompeu,-19.2244,-44.9353,23.08,43,55,4.92,BR,1717279286
101,san pablo villa de mitla,16.9167,-96.4,33.13,16,100,6.09,MX,1717279542
102,cururupu,-1.8283,-44.8683,23.82,99,9,0.46,BR,1717279375
103,bilibino,68.0546,166.4372,6.69,51,7,2.06,RU,1717279542
104,kodiak,57.79,-152.4072,8.73,87,100,7.72,US,1717279542
105,vikulovo,56.8167,70.6107,6.31,91,19,2.69,RU,1717279542
106,yakeshi,49.2833,120.7333,15.73,36,6,1.2,CN,1717279542
107,tokar,18.4254,37.729,27.31,60,1,1.6,SD,1717279542
108,haiku-pauwela,20.9219,-156.3051,27.01,72,40,12.86,US,1717279543
109,ves'yegonsk,58.664,37.2604,16.63,74,52,2.25,RU,1717279543
110,atafu village,-8.5421,-172.5159,28.87,74,60,5.32,TK,1717279543
111,vorgashor,67.5833,63.95,-5.11,95,98,4.66,RU,1717279543
112,ancud,-41.8697,-73.8203,8.2,77,93,8.09,CL,1717279543
113,okhotsk,59.3833,143.3,8.57,58,100,7.98,RU,1717279543
114,egilsstadir,65.2653,-14.3948,12.95,58,75,2.06,IS,1717279544
115,kokoda,-8.8785,147.7407,25.91,89,36,0.91,PG,1717279544
116,hamilton,39.1834,-84.5333,23.1,72,100,3.6,US,1717279544
117,mana,5.6592,-53.7767,26.52,88,99,2.93,GF,1717279544
118,mount isa,-20.7333,139.5,5.87,93,0,1.54,AU,1717279544
119,banfora,10.6333,-4.7667,27.68,68,85,2.4,BF,1717279544
120,constantia,44.1833,28.65,20.39,80,54,3.69,RO,1717279445
121,ringkobing,56.0901,8.244,14.99,94,100,4.63,DK,1717279545
122,saint-philippe,-21.3585,55.7679,20.77,72,42,3.75,RE,1717279545
123,pisco,-13.7,-76.2167,17.03,82,100,3.6,PE,1717279427
124,port mathurin,-19.6833,63.4167,24.08,74,100,8.96,MU,1717279545
125,vila velha,-20.3297,-40.2925,22.97,78,20,4.12,BR,1717279132
126,shingu,33.7333,135.9833,19.5,63,74,1.0,JP,1717279545
127,montmagny,48.9734,2.3469,13.31,93,100,6.69,FR,1717279545
128,isafjordur,66.0755,-23.124,6.23,71,96,4.21,IS,1717279545
